# 8-Hamiltonian sweep, GP arm recomputed under final method (matched-count, empirical noise, Matern-3/2), paired vs stored conditional arm (identical data per cell via make_cell_seed); <XI>, 100x200; wall=3005s
hamiltonian,seed,gp_rmse,conditional_rmse,gp_rrmse
beating,130,0.03471,0.14632,0.06425
beating,140,0.02943,0.12834,0.05448
beating,150,0.035,0.14613,0.0648
beating,160,0.03906,0.12486,0.0723
beating,170,0.03613,0.12667,0.06689
beating,180,0.03943,0.15012,0.07299
beating,190,0.04417,0.12327,0.08177
beating,200,0.0442,0.09896,0.08182
dephasing,10,0.02836,0.11969,0.09556
dephasing,20,0.03398,0.11285,0.11451
dephasing,30,0.03824,0.10609,0.12888
dephasing,40,0.02957,0.09011,0.09965
dephasing,50,0.03955,0.10822,0.13329
dephasing,60,0.0325,0.14258,0.10951
dephasing,70,0.0245,0.14395,0.08256
dephasing,80,0.02342,0.12585,0.07893
dephasing,90,0.0337,0.11052,0.11356
dephasing,100,0.04264,0.10864,0.1437
dephasing,110,0.03653,0.11886,0.12309
dephasing,120,0.03473,0.10806,0.11703
dephasing,130,0.0223,0.1247,0.07514
dephasing,140,0.0289,0.11873,0.09739
dephasing,150,0.01615,0.13266,0.05443
dephasing,160,0.02153,0.11568,0.07256
dephasing,170,0.03698,0.07981,0.12462
dephasing,180,0.02224,0.14481,0.07494
dephasing,190,0.03066,0.12694,0.10331
dephasing,200,0.03944,0.11258,0.1329
