# per-element rho program, matched-Pauli assembled estimator, fresh bases; MODE=nqubit; 500 times, N=[500], qubits=[2, 3], 20 seeds, RBF, arms=['shared', 'per-elem', 'empnoise']; pattern-count sampler; wall=40622s
qubits,N,arm,frob_mean,frob_se,pct_vs_shared,paired_diff_se_pct
2,500,empnoise,0.02985,0.00047,-7.4,0.97
2,500,per-elem,0.03633,0.00058,12.69,1.38
2,500,shared,0.03224,0.00044,0.0,0.0
3,500,empnoise,0.07628,0.00042,-6.65,0.33
3,500,per-elem,0.09463,0.00066,15.82,0.49
3,500,shared,0.0817,0.00045,0.0,0.0
