# band construction comparison; 20 seeds; wall=698s
times,shadows,observable,band,seed,coverage,mean_width
40,100,XI,latent,25,0.86,0.32915
40,100,XI,predictive,25,1.0,0.63459
40,100,ZZ,latent,25,0.91,0.51567
40,100,ZZ,predictive,25,1.0,1.11827
40,100,XI,latent,26,1.0,0.33515
40,100,XI,predictive,26,1.0,0.63764
40,100,ZZ,latent,26,0.97,0.50216
40,100,ZZ,predictive,26,1.0,1.06194
40,100,XI,latent,27,0.97,0.32979
40,100,XI,predictive,27,1.0,0.62125
40,100,ZZ,latent,27,1.0,0.54135
40,100,ZZ,predictive,27,1.0,1.1464
40,100,XI,latent,28,0.98,0.33771
40,100,XI,predictive,28,1.0,0.64979
40,100,ZZ,latent,28,0.91,0.50314
40,100,ZZ,predictive,28,1.0,1.08654
40,100,XI,latent,29,1.0,0.34032
40,100,XI,predictive,29,1.0,0.65101
40,100,ZZ,latent,29,0.74,0.48772
40,100,ZZ,predictive,29,1.0,1.06904
60,150,XI,latent,10,1.0,0.23248
60,150,XI,predictive,10,1.0,0.48594
60,150,ZZ,latent,10,0.99,0.36167
60,150,ZZ,predictive,10,1.0,0.84477
60,150,XI,latent,11,0.88,0.22668
60,150,XI,predictive,11,1.0,0.48753
60,150,ZZ,latent,11,1.0,0.35708
60,150,ZZ,predictive,11,1.0,0.83636
60,150,XI,latent,12,0.95,0.22697
60,150,XI,predictive,12,1.0,0.47975
60,150,ZZ,latent,12,0.97,0.36453
60,150,ZZ,predictive,12,1.0,0.85762
60,150,XI,latent,13,1.0,0.23768
60,150,XI,predictive,13,1.0,0.49932
60,150,ZZ,latent,13,0.95,0.36518
60,150,ZZ,predictive,13,1.0,0.86208
60,150,XI,latent,14,0.93,0.23609
60,150,XI,predictive,14,1.0,0.49886
60,150,ZZ,latent,14,1.0,0.36518
60,150,ZZ,predictive,14,1.0,0.85851
60,150,XI,latent,15,1.0,0.23342
60,150,XI,predictive,15,1.0,0.49774
60,150,ZZ,latent,15,0.9,0.35791
60,150,ZZ,predictive,15,1.0,0.82196
60,150,XI,latent,16,1.0,0.23209
60,150,XI,predictive,16,1.0,0.49758
60,150,ZZ,latent,16,0.99,0.36713
60,150,ZZ,predictive,16,1.0,0.86668
60,150,XI,latent,17,0.93,0.24194
60,150,XI,predictive,17,1.0,0.50165
60,150,ZZ,latent,17,0.94,0.37355
60,150,ZZ,predictive,17,1.0,0.87645
60,150,XI,latent,18,1.0,0.24015
60,150,XI,predictive,18,1.0,0.49846
60,150,ZZ,latent,18,1.0,0.36876
60,150,ZZ,predictive,18,1.0,0.85353
60,150,XI,latent,19,0.93,0.23461
60,150,XI,predictive,19,1.0,0.49734
60,150,ZZ,latent,19,0.97,0.38178
60,150,ZZ,predictive,19,1.0,0.8612
60,150,XI,latent,20,1.0,0.23338
60,150,XI,predictive,20,1.0,0.49471
60,150,ZZ,latent,20,0.97,0.36842
60,150,ZZ,predictive,20,1.0,0.83853
60,150,XI,latent,21,1.0,0.23366
60,150,XI,predictive,21,1.0,0.49371
60,150,ZZ,latent,21,0.96,0.38683
60,150,ZZ,predictive,21,1.0,0.86378
60,150,XI,latent,22,1.0,0.23407
60,150,XI,predictive,22,1.0,0.49573
60,150,ZZ,latent,22,1.0,0.36767
60,150,ZZ,predictive,22,1.0,0.85405
60,150,XI,latent,23,1.0,0.23098
60,150,XI,predictive,23,1.0,0.48733
60,150,ZZ,latent,23,0.83,0.37257
60,150,ZZ,predictive,23,1.0,0.8676
60,150,XI,latent,24,0.89,0.22433
60,150,XI,predictive,24,1.0,0.48216
60,150,ZZ,latent,24,0.94,0.36727
60,150,ZZ,predictive,24,1.0,0.85603
60,150,XI,latent,25,0.99,0.22956
60,150,XI,predictive,25,1.0,0.48989
60,150,ZZ,latent,25,0.97,0.37172
60,150,ZZ,predictive,25,1.0,0.85298
60,150,XI,latent,26,0.95,0.23016
60,150,XI,predictive,26,1.0,0.49143
60,150,ZZ,latent,26,0.85,0.35702
60,150,ZZ,predictive,26,1.0,0.83814
60,150,XI,latent,27,0.98,0.23505
60,150,XI,predictive,27,1.0,0.49936
60,150,ZZ,latent,27,1.0,0.38866
60,150,ZZ,predictive,27,1.0,0.85871
60,150,XI,latent,28,1.0,0.24005
60,150,XI,predictive,28,1.0,0.51324
60,150,ZZ,latent,28,0.76,0.35252
60,150,ZZ,predictive,28,1.0,0.86027
60,150,XI,latent,29,1.0,0.23485
60,150,XI,predictive,29,1.0,0.49523
60,150,ZZ,latent,29,0.93,0.38113
60,150,ZZ,predictive,29,1.0,0.85976
100,200,XI,latent,10,0.98,0.16581
100,200,XI,predictive,10,1.0,0.40504
100,200,ZZ,latent,10,0.93,0.26284
100,200,ZZ,predictive,10,1.0,0.71677
100,200,XI,latent,11,0.93,0.16999
100,200,XI,predictive,11,1.0,0.40863
100,200,ZZ,latent,11,0.9,0.2643
100,200,ZZ,predictive,11,1.0,0.7187
100,200,XI,latent,12,1.0,0.16693
100,200,XI,predictive,12,1.0,0.40927
100,200,ZZ,latent,12,0.97,0.26489
100,200,ZZ,predictive,12,1.0,0.70721
100,200,XI,latent,13,0.99,0.169
100,200,XI,predictive,13,1.0,0.40823
100,200,ZZ,latent,13,0.85,0.25893
100,200,ZZ,predictive,13,1.0,0.69615
100,200,XI,latent,14,1.0,0.16784
100,200,XI,predictive,14,1.0,0.41014
100,200,ZZ,latent,14,0.96,0.26278
100,200,ZZ,predictive,14,1.0,0.70959
100,200,XI,latent,15,0.82,0.17223
100,200,XI,predictive,15,1.0,0.4111
100,200,ZZ,latent,15,0.97,0.26727
100,200,ZZ,predictive,15,1.0,0.71727
100,200,XI,latent,16,0.89,0.16657
100,200,XI,predictive,16,1.0,0.40122
100,200,ZZ,latent,16,0.97,0.2633
100,200,ZZ,predictive,16,1.0,0.7088
100,200,XI,latent,17,0.93,0.16443
100,200,XI,predictive,17,1.0,0.40308
100,200,ZZ,latent,17,0.95,0.26167
100,200,ZZ,predictive,17,1.0,0.70236
100,200,XI,latent,18,0.96,0.16708
100,200,XI,predictive,18,1.0,0.4075
100,200,ZZ,latent,18,1.0,0.26464
100,200,ZZ,predictive,18,1.0,0.70108
100,200,XI,latent,19,1.0,0.16697
100,200,XI,predictive,19,1.0,0.40922
100,200,ZZ,latent,19,0.98,0.25823
100,200,ZZ,predictive,19,1.0,0.70338
100,200,XI,latent,20,0.95,0.16629
100,200,XI,predictive,20,1.0,0.40799
100,200,ZZ,latent,20,0.94,0.27064
100,200,ZZ,predictive,20,1.0,0.7189
100,200,XI,latent,21,0.96,0.16572
100,200,XI,predictive,21,1.0,0.4078
100,200,ZZ,latent,21,0.95,0.26306
100,200,ZZ,predictive,21,1.0,0.70129
100,200,XI,latent,22,1.0,0.16879
100,200,XI,predictive,22,1.0,0.40919
100,200,ZZ,latent,22,1.0,0.26369
100,200,ZZ,predictive,22,1.0,0.70598
100,200,XI,latent,23,0.95,0.16342
100,200,XI,predictive,23,1.0,0.40391
100,200,ZZ,latent,23,0.95,0.26117
100,200,ZZ,predictive,23,1.0,0.71389
100,200,XI,latent,24,1.0,0.16617
100,200,XI,predictive,24,1.0,0.40733
100,200,ZZ,latent,24,1.0,0.25768
100,200,ZZ,predictive,24,1.0,0.70873
100,200,XI,latent,25,0.99,0.16943
100,200,XI,predictive,25,1.0,0.40942
100,200,ZZ,latent,25,1.0,0.2613
100,200,ZZ,predictive,25,1.0,0.71141
100,200,XI,latent,26,0.98,0.16671
100,200,XI,predictive,26,1.0,0.4048
100,200,ZZ,latent,26,0.96,0.26756
100,200,ZZ,predictive,26,1.0,0.71144
100,200,XI,latent,27,1.0,0.16468
100,200,XI,predictive,27,1.0,0.40546
100,200,ZZ,latent,27,0.93,0.26867
100,200,ZZ,predictive,27,1.0,0.71657
100,200,XI,latent,28,0.97,0.16811
100,200,XI,predictive,28,1.0,0.41153
100,200,ZZ,latent,28,0.94,0.27631
100,200,ZZ,predictive,28,1.0,0.71166
100,200,XI,latent,29,0.97,0.16575
100,200,XI,predictive,29,1.0,0.40459
100,200,ZZ,latent,29,1.0,0.26075
100,200,ZZ,predictive,29,1.0,0.68893
