# headline recon, FINAL method (fresh bases/time, matched-count norm, smoothed SE, empirical-noise Matern-3/2); 100x200, 20 seeds 10..29, paired; wall=346s
observable,raw_rmse_mean,raw_rmse_se,gp_rmse_mean,gp_rmse_se,gp_coverage_mean,gp_coverage_se,spline_rmse_mean,spline_rmse_se,savgol_rmse_mean,savgol_rmse_se,paired_gp_minus_raw,paired_se,paired_gp_minus_spline,paired_spline_se
XI,0.0864,0.0013,0.0391,0.0018,1.0,0.0,0.0349,0.0018,0.0378,0.0016,-0.0473,0.0014,0.0042,0.0009
ZZ,0.1514,0.0036,0.0667,0.0025,1.0,0.0,0.0592,0.0022,0.0671,0.0024,-0.0847,0.0031,0.0075,0.0021
