# 8-Hamiltonian sweep, GP arm recomputed under final method (matched-count, empirical noise, Matern-3/2), paired vs stored conditional arm (identical data per cell via make_cell_seed); <XI>, 100x200; wall=3005s
hamiltonian,n_seeds,gp_mean,gp_se,cond_mean,cond_se,paired_diff,paired_se,gp_wins
ZZ_slow,20,0.02815,0.00141,0.10768,0.01327,-0.07953,0.01308,20
ZZ_fast,20,0.0482,0.00124,0.23566,0.01187,-0.18746,0.01168,20
ZZ_plus_XI,20,0.04018,0.00218,0.13072,0.00743,-0.09054,0.00711,20
weak,20,0.01763,0.00113,0.06876,0.00899,-0.05113,0.00904,20
entangling,20,0.0337,0.00188,0.10642,0.00946,-0.07272,0.00926,20
TFIM,20,0.0381,0.00159,0.16424,0.00364,-0.12614,0.00394,20
beating,20,0.0366,0.00165,0.13107,0.00517,-0.09447,0.00544,20
dephasing,20,0.03079,0.00163,0.11757,0.00369,-0.08677,0.00479,20
